,pretrain_data,target,MSE,MAE,seed,model
131,ETTh1,ETTm2,0.1599543821987951,0.27485762893298865,2023,CoST
132,ETTh1,electricity,0.1782414495678742,0.27982870810124005,2023,CoST
133,ETTh1,traffic,0.47208388258583445,0.33501504858961456,2023,CoST
134,ETTh1,exchange,0.12532560082841496,0.256380421741009,2023,CoST
135,ETTh1,weather,0.2564303862344817,0.3474728576184431,2023,CoST
136,ETTh2,ETTh1,0.4338593053346458,0.44683766846109174,2023,CoST
137,ETTh2,ETTh2,0.23836124192148594,0.3386621045492793,2023,CoST
138,ETTh2,ETTm1,0.34095169632032635,0.37990090811372146,2023,CoST
139,ETTh2,ETTm2,0.1603482498242499,0.2754425819068121,2023,CoST
140,ETTh2,electricity,0.17898887940218744,0.28059416609493765,2023,CoST
141,ETTh2,traffic,0.4715496365104231,0.33406827127551497,2023,CoST
142,ETTh2,exchange,0.12332880935167004,0.2539100420708999,2023,CoST
143,ETTh2,weather,0.25857037502485297,0.34902985362645844,2023,CoST
144,ETTm1,ETTh1,0.43852517287068643,0.4502699018904765,2023,CoST
145,ETTm1,ETTh2,0.24348512305332629,0.3436426239210125,2023,CoST
146,ETTm1,ETTm1,0.33970480508915496,0.3790591488941735,2023,CoST
147,ETTm1,ETTm2,0.16179140425386268,0.27666726154737553,2023,CoST
148,ETTm1,electricity,0.17730573498727753,0.27867680235713105,2023,CoST
149,ETTm1,traffic,0.4710229067947597,0.33305665458884964,2023,CoST
150,ETTm1,exchange,0.12222276538696952,0.2533476655033103,2023,CoST
151,ETTm1,weather,0.23685108037766442,0.32204828107758104,2023,CoST
152,ETTm2,ETTh1,0.4398549063268603,0.451341431759829,2023,CoST
153,ETTm2,ETTh2,0.2392951610792557,0.34007527183574704,2023,CoST
154,ETTm2,ETTm1,0.3426833457154845,0.381593497653738,2023,CoST
155,ETTm2,ETTm2,0.16044245653248818,0.2752101416540848,2023,CoST
156,ETTm2,electricity,0.1784632439873082,0.27980850540261315,2023,CoST
157,ETTm2,traffic,0.4724479190783283,0.3341035351409712,2023,CoST
158,ETTm2,exchange,0.11991327477825416,0.24918476050057925,2023,CoST
159,ETTm2,weather,0.24782166132158095,0.33472644486785086,2023,CoST
160,electricity,ETTh1,0.4355720788586783,0.4499744390644525,2023,CoST
161,electricity,ETTh2,0.2412397975860296,0.3412217183898682,2023,CoST
162,electricity,ETTm1,0.34035454461338255,0.3798735542635973,2023,CoST
163,electricity,ETTm2,0.16181308814965661,0.2780520337199163,2023,CoST
164,electricity,electricity,0.16858075783360296,0.2700795937773342,2023,CoST
165,electricity,traffic,0.47488194975903375,0.3284163286170594,2023,CoST
166,electricity,exchange,0.1292339712874733,0.26682751788927606,2023,CoST
167,electricity,weather,0.26698144201342733,0.3597896156737766,2023,CoST
168,traffic,ETTh1,0.4326288889799893,0.4484604788444281,2023,CoST
169,traffic,ETTh2,0.25034513844897416,0.35131654123938966,2023,CoST
170,traffic,ETTm1,0.34243278664916416,0.38481678266196656,2023,CoST
171,traffic,ETTm2,0.16342271044557805,0.28019758389400923,2023,CoST
172,traffic,electricity,0.18056193949155538,0.2880169795314038,2023,CoST
173,traffic,traffic,0.47698501489665907,0.3335184542643363,2023,CoST
174,traffic,exchange,0.14460318811054237,0.27732234145924894,2023,CoST
175,traffic,weather,0.2643943490824171,0.3445424276645142,2023,CoST
176,exchange,ETTh1,0.4370580360055871,0.45010172535188675,2023,CoST
177,exchange,ETTh2,0.2395983583687765,0.34145458417949176,2023,CoST
178,exchange,ETTm1,0.34184939848405754,0.38004002830382533,2023,CoST
179,exchange,ETTm2,0.16042263216364164,0.27509060534787705,2023,CoST
180,exchange,electricity,0.17893377529988705,0.28132120076080425,2023,CoST
181,exchange,traffic,0.4754195880979631,0.33832766194059305,2023,CoST
182,exchange,exchange,0.11519998206511751,0.2455119928709521,2023,CoST
